type,price,beds,bath,propertysqft,locality,zipcode,distance_to_center,distance_to_wall_street
Multi-family home,979000,8,3,2860.0,Manhattan,11212,12.323850618739021,9.114075626367686
Co-op,199000,1,1,964.0,Queens,11375,12.102682394055558,13.84317118436603
Condo,1025000,1,1,800.0,Manhattan,10075,3.1990619898119625,8.74523382803954
Condo,1375000,1,2,920.0,Manhattan,10065,1.819578914296143,7.485392572595271
Condo,875000,3,2,1437.0,Manhattan,10033,11.403308571304354,17.59888330435714
Multi-family home,1350000,6,3,3000.0,Manhattan,11235,19.035358364606633,13.933006900373407
Multi-family home,815156,4,4,2945.0,Manhattan,10310,16.89088626192561,11.262603832535524
Multi-family home,1949000,3,5,2560.0,Manhattan,11235,19.85600859253584,14.486415794378336
Multi-family home,669000,5,2,1893.0,Manhattan,11691,25.592017502631826,23.552796958046727
Multi-family home,900500,4,2,3262.0,Manhattan,11236,14.767504408390884,11.927614852644128
Co-op,1465000,3,3,1440.0,Manhattan,10021,2.5360973737118186,8.279115230081244
Condo,1100000,1,1,726.0,Manhattan,10006,6.165947681386783,0.4925220055706325
Multi-family home,1199000,6,5,3262.0,Manhattan,11414,15.19587603579403,13.901823329575244
Multi-family home,599000,4,3,1176.0,Staten Island,10303,20.11406412260985,15.022745115419596
Multi-family home,1230000,4,3,3262.0,Manhattan,11385,10.279847325739226,9.972254123855299
Co-op,3950000,3,3,1440.0,Manhattan,10022,2.0648935800287886,7.008344281998441
Multi-family home,1350000,10,5,3383.0,Manhattan,11208,12.422325865121318,11.406229238443968
House,799000,5,3,1800.0,Manhattan,11234,14.739988998786734,10.568004488505306
House,1599000,5,3,5600.0,Manhattan,10304,22.492796756059047,16.419744700553075
House,1299900,4,4,2755.0,Manhattan,10307,35.31002788837694,29.503382395826513
Co-op,370000,1,1,845.0,Brooklyn,11201,7.252267477411529,1.8090777444078245
Co-op,3649000,3,2,1440.0,Manhattan,10001,1.3836790530983043,4.8509289765623835
Multi-family home,860000,5,3,2324.0,Manhattan,11224,20.295744390042113,14.359787609747439
