type_Condo,type_House,type_Multi-family home,type_Townhouse,locality_Brooklyn,locality_Manhattan,locality_Queens,locality_Staten Island,zipcode,beds,bath,propertysqft,distance_to_center,distance_to_wall_street,price
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11209.0,1.0,1.0,1050.0,16.33427763560051,10.144223253982467,545000
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10023.0,3.0,1.0,600.0,1.4986248986387165,7.479276671700039,999000
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10312.0,4.0,2.0,2342.0,27.75648101003785,21.79031738277696,849998
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11238.0,3.0,2.0,704.0,8.588900540948828,4.451246350845412,695000
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11372.0,2.0,2.0,900.0,9.209929719440405,12.523510233641428,270000
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11691.0,4.0,4.0,2100.0,25.519396336055927,23.88868546580953,599000
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11218.0,2.0,2.0,2158.0,12.317406123012102,6.8781220504665175,1249000
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10038.0,1.0,1.0,1120.0,5.718177398210379,0.7086161328954774,1200000
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11206.0,1.0,1.0,654.0,6.5909840966129725,5.429304714758421,750000
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10025.0,4.0,3.0,2263.0,4.416583990887502,10.616919851879905,3150000
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11228.0,3.0,2.0,1700.0,15.391587815141923,9.30345563874874,888000
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10007.0,3.0,3.0,2584.0,5.303655655251463,0.9217020099716856,4200000
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11215.0,3.0,2.0,1960.0,10.98264614724384,5.496589356457501,1375000
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11422.0,2.0,1.0,964.0,23.00368509810217,23.38823337045346,199900
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10024.0,3.0,4.0,3400.0,3.177974536553569,9.375040019783125,5200000
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10312.0,4.0,2.0,1496.0,29.02485769564133,23.26580803693287,632000
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10024.0,3.0,4.0,2855.0,3.4162476882071164,9.608636738964284,7750000
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11414.0,7.0,5.0,3978.0,15.08027174624278,13.733391529915792,989000
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11377.0,8.0,4.0,3262.0,7.39300247901788,10.571294197735272,1599999
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10023.0,2.0,2.0,1440.0,2.3078521968997965,8.4232887902117,975000
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11220.0,3.0,1.0,494.0,12.675253646151708,6.605595201821112,450000
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10304.0,5.0,4.0,2452.0,21.18771565965149,15.1044686451726,1088888
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11221.0,2.0,2.0,1144.0,9.534486756670846,8.041438307773488,1075000
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11219.0,6.0,2.0,2720.0,13.624559368029148,7.75689837705805,2100000
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10301.0,2.0,1.0,860.0,18.077333297588083,12.084705662977628,235000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10463.0,1.0,1.0,905.0,14.841247545175165,21.020521337654607,205000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10471.0,2.0,1.0,850.0,17.556618404092625,23.74982150202691,220000
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11224.0,2.0,1.0,900.0,20.108706063829583,14.524740009555964,349000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10473.0,1.0,1.0,750.0,11.665373881643363,17.143635671699887,265000
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11238.0,1.0,1.0,845.0,9.866448399746726,5.500592762133283,475000
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10065.0,3.0,3.0,1440.0,1.902733958130064,7.913593099223489,3195000
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10466.0,8.0,5.0,3252.0,17.734712936833255,23.688790225525054,989000
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11215.0,2.0,2.0,1030.0,10.386119941637272,4.71002290529538,995000
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10022.0,3.0,1.0,1440.0,1.5504103814948904,6.432836835914853,350000
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11233.0,9.0,6.0,4420.0,10.59436199353562,8.197873292110296,1595000
